Time,Learning rate,Train loss,Validation loss,MAE_free_energy
59759.16005897522,0.0001,107635.34432692308,107607.04884615385,319.46724338942306
59985.29868030548,0.0001,107191.31467788461,107775.19283653847,319.5498109975961
60211.545516490936,0.0001,107412.65267788462,108651.04215384615,319.6119861778846
60437.52218794823,0.0001,107387.97605769231,109477.14007211539,319.67135516826926
60664.37073326111,0.0001,108033.24582211538,115025.69040865384,320.525296875
60890.66548395157,0.0001,107725.10854807693,108739.8658076923,318.9346448317308
61117.12643170357,0.0001,107847.44123557692,107385.70918269231,319.3625078125
61343.42441010475,0.0001,107093.64187980769,107346.98644711539,319.3043759014423
61569.43039894104,0.0001,107797.03404326923,107844.392625,319.0917127403846
61795.821756362915,0.0001,107166.59299038461,107299.34117307693,319.2510817307692
62022.011155605316,0.0001,107434.07408173077,108753.56754807693,318.98119891826923
62248.84306526184,0.0001,107929.27232692308,107841.103375,319.14205829326926
62475.12629699707,0.0001,107904.61377884615,108599.87590865385,319.0206905048077
62701.566715717316,0.0001,107541.37015384616,113252.65646153846,318.8215186298077
62927.85088920593,0.0001,108041.58145673077,107380.25961538461,319.35257061298074
63153.92523598671,0.0001,108045.58712019231,107341.14347596154,319.21561207932695
63380.47387933731,0.0001,107372.9280625,107844.48425961539,319.15539302884616
63606.87620663643,0.0001,107245.52383173077,107427.11705288461,319.19501021634613
63833.64085793495,0.0001,107359.48927403847,108102.25386538461,318.97464182692306
64059.93433260918,0.0001,107535.78938942308,108873.26977403846,319.6358284254808
64286.58847165108,0.0001,107186.67166346154,110521.9017548077,318.7624630408654
64513.068694114685,0.0001,107662.86071634616,109843.23288461538,318.85610396634615
64739.687321424484,0.0001,107480.7806875,107376.60186057692,319.2237010216346
64966.37237286568,0.0001,107340.10815384616,107313.6879951923,319.26758293269233
65192.876641988754,0.0001,107573.66894230769,107913.37107692308,319.06721424278845
65419.15393614769,0.0001,107280.5902451923,107332.44641346154,319.20459495192307
65645.4572236538,0.0001,107103.31923076924,107481.70555288461,319.15720282451923
65872.11933064461,0.0001,106934.00090384616,107361.88982692307,319.19723647836537
66099.08700871468,0.0001,108227.51207692307,108248.10473076924,319.0508894230769
66325.67670726776,0.0001,107833.66333173077,107920.41390384616,319.40992908653845
66552.2497420311,0.0001,107222.07179807693,107488.74861538461,319.39577103365383
66778.6212489605,0.0001,107176.18025,108975.613375,319.65014603365387
67004.89099311829,0.0001,107538.0273125,107823.19691826923,319.31436177884615
67231.38530397415,0.0001,107451.99176442307,107254.47782692307,319.28580138221156
67457.58021521568,0.0001,107137.30140384616,107249.58777884615,319.23952584134616
67684.15786504745,0.0001,107991.09652884616,108093.24424519231,318.99056370192307
67910.98658800125,0.0001,107975.00492788461,107470.02614423077,319.4464347956731
68138.34389424324,0.0001,107272.81871634616,108702.94886057693,319.6051280048077
68365.27039408684,0.0001,107443.9466201923,109775.12731730769,319.8046298076923
68591.99291825294,0.0001,107846.67293269231,107897.89869230769,319.16427764423076
68818.5200009346,0.0001,107807.83233173077,107672.37226923076,319.1797680288461
69044.74620318413,0.0001,107914.25710096153,107688.91785576924,319.1244353966346
69271.11919355392,0.0001,107489.74785576924,110378.62705769231,318.91674278846153
69497.5692152977,0.0001,107366.7370048077,107215.94795192308,319.2428795072115
69724.04499864578,0.0001,107018.17036057693,107410.47688461539,319.3918106971154
69950.74723505974,0.0001,107696.85253365384,108721.00612019231,319.74786598557694
70177.20836496353,0.0001,107330.40883173078,107250.60093269231,319.262953125
70403.62522363663,0.0001,107081.86160576923,107225.16985576923,319.30045492788463
70629.9969651699,0.0001,107651.08483173077,109657.32082692308,319.73300240384617
70856.76650762558,0.0001,107554.46817788461,108536.80583173077,319.6737764423077
71083.09350681305,0.0001,107268.1870625,109846.2444375,318.8372313701923
71309.42527484894,0.0001,107309.74027403846,107411.07397596154,319.1899002403846
71535.78052902222,0.0001,107522.87702403846,108061.99336057692,319.08282752403846
71762.27528905869,0.0001,107375.14257692307,107263.40182211538,319.3124050480769
71989.03361558914,0.0001,107202.16302403845,109776.68360096154,318.84853876201925
72215.17420554161,0.0001,107285.55552403846,108801.059625,318.91700030048077
72441.81549096107,0.0001,107327.57175,109577.48211057692,318.88952674278846
72668.0911681652,0.0001,107492.94016346154,108820.2163173077,318.85615264423075
72894.97256422043,0.0001,106954.03907692307,107411.38091826923,319.28057752403845
73121.46484827995,0.0001,107345.477375,107364.197,319.4157160456731
73348.21847438812,0.0001,107227.0146826923,107385.44351923077,319.3687328725961
73574.57485365868,0.0001,107156.81898557692,107248.9426826923,319.30650841346153
73801.21741628647,0.0001,108117.54644711538,107508.61352403846,319.26794411057693
74027.466340065,0.0001,107096.51155288462,107771.36722115385,319.0420357572115
74253.9631099701,0.0001,107330.65979326922,108617.85194711538,319.6813329326923
74480.28415584564,0.0001,107886.04492307693,107405.0819375,319.4637403846154
74706.73354172707,0.0001,107057.79363942308,107333.92760576923,319.29995072115383
74933.47558999062,0.0001,106952.75932211538,108981.6007451923,319.00665564903846
75160.60752391815,0.0001,107442.63932211538,109192.86832211539,318.93531971153845
75387.44893455505,0.0001,107790.14149038462,107255.91508173077,319.19706400240386
75614.19269180298,5e-05,106659.66204326923,107721.1922451923,319.50883443509616
75840.75229740143,5e-05,106639.37183173076,107421.97177884616,319.1350375600962
76067.78634262085,5e-05,106770.82513942308,107125.26122115385,319.30008473557695
76294.21788978577,5e-05,106695.24490384615,107169.37597115384,319.3690546875
76520.82779359818,5e-05,106671.68338942308,107174.05042788462,319.21921814903845
76747.27830505371,5e-05,106546.84335096154,107148.33930769231,319.3412800480769
76973.66634392738,5e-05,106732.01638461539,107448.84482692307,319.1148725961539
77200.38333535194,5e-05,106746.69098557692,107875.18982211538,319.49922866586536
77426.8621327877,5e-05,106573.41252403846,107193.927,319.2236736778846
77653.28188371658,5e-05,106723.89399519231,107186.62540384615,319.28886899038463
77879.85212898254,5e-05,106772.17201442308,107258.09860096154,319.40135096153847
78106.38789200783,5e-05,107161.09575961539,107746.82872115384,319.13245462740383
78333.30448579788,5e-05,106776.5985625,107248.04722115384,319.16990204326925
78560.03668761253,5e-05,106874.82665865385,107134.99647115385,319.3389131610577
78786.88500547409,5e-05,107045.40308173076,107223.19212019231,319.4121376201923
79013.67037534714,5e-05,106635.8147548077,108069.22685096154,319.0588954326923
79240.68335914612,5e-05,107244.68046153846,107322.6563076923,319.13954447115384
79467.1748714447,5e-05,106887.80901442308,107163.35662019231,319.1739855769231
79693.51301908493,5e-05,106916.3038173077,107992.1876875,319.1087076322115
79919.94068360329,5e-05,106851.30616826924,107513.98780288461,319.08130318509615
80146.68289589882,5e-05,106890.65539903846,108281.11568269231,319.5711385216346
80373.1006321907,5e-05,106740.2663125,107206.67704807692,319.35029356971154
80599.65324568748,5e-05,106879.41148557693,107323.40421153847,319.3684447115385
80826.11660456657,5e-05,106841.46467788462,108107.11377403846,319.0355186298077
81052.9157140255,5e-05,107153.56263942308,107303.86114423077,319.2030420673077
81279.45216917992,5e-05,106772.46653846154,107253.47477403846,319.3401409254808
81506.34077334404,5e-05,106651.5833125,107164.98140384615,319.1876947115385
81733.12877559662,5e-05,107184.2621923077,107317.48059134616,319.37604627403846
81959.76564693451,5e-05,106871.64272115384,107572.2407451923,319.53228365384615
82186.59940290451,2.5e-05,106549.35783653846,107104.32383173077,319.2398389423077
82413.53590583801,2.5e-05,106569.59535576923,107196.40086057692,319.1597686298077
82640.13164997101,2.5e-05,106547.2509375,107113.25353365384,319.3188197115385
82866.65717291832,2.5e-05,106545.2351201923,107182.07534615384,319.38873557692307
83093.22776055336,2.5e-05,106485.05140384616,107371.65016826923,319.12388671875
83319.41469335556,2.5e-05,106513.23051923077,107205.1396875,319.3477626201923
83546.27246928215,2.5e-05,106617.80247115385,108145.947,319.0602043269231
83772.77179384232,2.5e-05,106616.75611538462,107329.91260576923,319.1197439903846
83999.14728951454,2.5e-05,106658.82507211539,107130.77703846154,319.21952133413464
84226.15692687035,2.5e-05,106581.994,107351.97595673076,319.3887557091346
84452.59660625458,2.5e-05,106525.51214903846,107227.28965384615,319.4103909254808
84679.13575148582,2.5e-05,106624.47978846154,107513.12086057692,319.1018434495192
84906.09511208534,2.5e-05,106536.36771153846,107145.3711875,319.3142367788462
85132.64994359016,2.5e-05,106544.83485576924,107089.60048076924,319.2667010216346
85359.07741951942,2.5e-05,106752.24091826924,107363.888875,319.152109375
